cs1,cs2
69.829155,2011.4176
37.14344,1872.9858
2.9265947,917.5393
9.634568,1373.1243
55.678947,2076.554
9.318595,914.60986
6.998963,1079.3656
89.16088,2068.6736
43.52883,1953.6296
38.21757,3262.123
7.1069984,1015.4481
71.09157,2430.3635
15.794328,1479.0314
95.19068,2352.656
65.66597,2789.3416
86.98037,2466.745
82.9131,2579.3364
16.59513,1064.2188
43.862442,2786.9243
38.528362,1422.1809
7.9393787,1466.8668
52.159454,4153.918
82.02423,2503.8132
61.222225,3642.9324
111.72657,4378.5894
33.899567,1668.3439
54.23124,2832.9607
110.849266,3433.0408
108.82298,2631.9949
64.805176,2272.456
113.64352,2342.6853
88.41894,2967.848
61.59017,4053.426
44.10608,2889.1074
48.23986,1869.7573
91.90876,3455.0933
5.362198,736.1256
107.434586,2814.649
81.665276,2835.5483
102.960686,3845.6792
17.695648,1205.3098
41.251007,1676.8074
116.30012,3203.2786
64.25734,2372.3892
98.59782,2699.3164
98.87871,3309.1853
77.68874,2905.0684
50.002567,4970.6235
74.65061,4053.3064
45.775604,2613.409
33.377533,3313.5151
35.335133,1607.8499
51.63748,2846.1057
38.07718,2005.1617
90.37467,2625.2961
56.552567,3271.1511
11.259905,1506.2488
13.717651,1443.8948
23.000425,1584.6927
94.626114,3751.984
61.543385,2069.7605
49.059334,2583.9963
53.856533,2327.6929
92.947266,4016.8467
62.682457,3018.1738
43.387802,1808.3494
56.1406,1929.8766
86.80459,2631.661
60.459797,1753.748
52.836315,2727.6997
10.65434,1330.253
63.97361,3686.4553
25.136782,1940.8424
15.880644,1367.6036
94.621826,2654.679
14.118264,1922.2402
28.497522,1486.628
7.198033,819.53156
62.28757,2302.7612
10.771661,1131.4624
56.398174,3249.0718
79.727745,2454.5894
61.46861,4148.995
80.775085,3409.367
105.08381,3924.283
23.530405,2626.4912
102.24799,2620.3826
63.31577,2191.8606
17.968853,1830.2332
1.85411,439.26486
63.321823,2561.113
5.417084,1487.8004
1.9049412,651.7438
60.178852,2758.4912
108.30413,3602.2825
86.47675,2738.4187
109.95022,3079.8997
56.46386,3123.2896
80.102295,2512.8552
60.603115,3205.94
39.80016,2567.4946
73.37875,3746.8767
12.395122,1970.353
38.06582,397.70197
63.535946,2325.394
116.07125,2645.0913
98.50079,3728.0537
85.93899,1853.3077
105.03924,1283.4647
57.262768,2490.5825
26.433212,2421.1292
88.837814,3038.6055
110.688805,2684.3936
48.841545,2403.7463
27.857958,1592.8071
60.683735,2875.437
30.278538,2282.7556
97.764656,2679.9434
96.86447,2624.331
88.12754,3711.6611
59.296524,2392.5269
66.50503,2081.3674
59.03311,3028.429
30.568249,1738.0117
93.843475,3506.1414
35.411026,2921.1953
45.407524,2542.4006
11.980432,1515.4866
75.9013,3112.969
30.609783,3287.6091
48.12357,3558.8477
90.935265,3433.1858
91.076256,2617.1355
31.472454,2365.0461
58.211926,3620.8572
91.07453,2525.291
87.56,3202.6716
57.69758,2101.5632
43.74353,1893.1866
13.038955,1582.4727
4.0552387,1215.3262
67.411804,3173.3323
19.977745,1388.0001
57.495777,3489.187
66.14187,2825.1782
100.90844,2751.84
104.446,3906.3
63.95378,2629.043
88.99896,1784.9375
35.56447,1963.32
15.003709,885.93414
27.032845,1834.2689
35.39862,2051.0957
54.40682,3013.2898
8.955921,1631.1814
113.99279,3368.4673
21.333828,2076.2043
76.36477,2551.9292
18.717531,1511.419
102.862045,3034.1917
50.662113,2375.68
106.446815,3733.7896
3.1485715,773.52454
21.793991,1526.0844
73.63197,1613.5671
84.89919,3294.239
81.693665,3160.4663
29.724415,1941.8444
34.307377,2186.4653
72.50941,2656.8025
99.54595,3861.9119
7.2901063,791.52826
8.170416,1086.2363
42.710457,1903.2428
57.216362,4266.408
60.970764,3124.77
79.44649,2994.0828
52.65506,2435.054
91.31205,2850.6252
71.45968,2077.4033
28.600765,2759.7437
66.76882,2399.971
23.224499,1721.9717
18.019505,2625.2402
33.325336,2895.4478
11.177825,1023.94904
43.30115,2094.2446
89.40532,1510.6462
91.23763,3356.4783
22.216215,2371.7969
84.71274,3531.1887
26.340376,2066.5642
55.2946,2597.1042
46.66139,2700.0037
125.13446,3994.124
86.145386,3436.6814
94.612404,3314.5112
91.422615,3548.1494
92.930954,2769.6396
30.243027,1431.4974
81.55433,3414.9993
134.3926,3223.8716
34.459892,1998.1334
89.000824,3168.5037
46.158287,1782.4445
26.940823,2227.528
21.6099,1433.9758
48.708134,2368.7368
103.27142,4127.9263
66.334625,3863.5735
68.01343,2717.9844
15.190767,1294.0386
15.906034,1547.2306
95.83858,3286.4001
35.920708,1209.4479
93.53517,3537.8877
69.86243,2640.661
103.274704,3927.5078
105.46835,4000.1487
34.640125,2681.8096
34.374447,3807.14
79.252144,3324.7676
92.042114,2994.0698
127.44917,3114.5452
46.223366,2341.6536
123.50112,3825.5068
43.90031,2329.3118
77.973946,2317.899
17.480719,1541.4823
124.964,3676.0466
67.36658,3720.541
47.741425,1599.9098
89.862076,3105.7063
66.33802,1870.0116
44.560024,2765.813
79.642914,3198.909
49.715477,1916.0217
49.190323,2966.4004
10.727758,1800.6559
51.42993,3578.5063
24.119442,1419.318
16.056046,1723.9337
6.677525,1088.3732
29.101728,1765.0975
103.7619,4216.9043
7.8105736,1036.2498
46.920254,3258.4988
61.669353,1581.6091
18.428696,1430.9635
36.766174,860.1646
90.26557,3907.5288
2.5393517,521.273
56.340508,2881.6892
10.569517,1767.0385
120.18819,3249.9487
87.12081,2576.1636
59.69961,1862.439
100.52787,3155.5007
56.8182,2219.817
15.478894,1968.5198
46.692234,2212.4028
28.277771,1454.6719
94.33607,3419.7673
104.44007,4557.1245
78.01788,3169.4744
8.198539,1197.7782
40.855488,2897.699
45.43731,1843.973
89.06707,2615.1272
30.486359,2600.8394
107.1717,2556.545
100.08337,2157.9785
22.740387,1190.2302
62.03471,3008.0403
6.8586373,1428.7959
18.29946,1571.7173
77.477875,2395.5273
52.292854,2292.7122
67.261536,2705.0522
9.416033,1276.6693
29.741938,2314.5012
108.67188,3351.8276
90.247185,2715.506
102.10034,4209.5396
6.5313897,1038.9897
80.822945,2539.0466
24.877245,2333.845
46.06553,2709.9568
59.581528,2499.18
19.848375,1636.4534
87.15563,1660.8896
52.4162,1662.0272
27.829144,2193.0068
66.61962,3289.179
3.667806,895.1478
1.9154446,777.9193
77.72085,2799.1982
81.84095,3366.9248
19.810286,1968.953
96.58552,2885.3423
81.29564,4067.7322
77.24041,4192.917
8.415389,890.3478
78.15641,2909.9036
64.85373,2193.3796
69.98301,2282.595
2.8756545,1110.2257
18.666641,1891.966
71.29995,3321.652
92.7464,3152.1558
107.432106,2950.2576
7.9723434,811.8696
8.892711,1160.0428
90.58273,3674.9028
49.323246,2896.4712
15.852946,1899.6914
55.311127,2932.699
44.19232,2560.235
82.97327,3085.2698
46.535732,2505.1304
82.3202,2998.9563
49.646564,1979.083
37.182457,2187.3481
113.23751,4246.1504
127.08232,3392.6833
31.752539,1946.8549
102.0172,2997.3135
70.56819,2713.8184
24.868963,2095.803
19.552885,1275.5336
60.429188,3315.0608
28.06883,1512.4958
37.898674,2537.5596
3.5410182,752.9249
98.39023,2750.6328
18.46265,2502.4282
19.046116,1867.0334
59.651966,3530.0996
95.22152,3523.2234
37.265278,1736.1217
61.576782,1821.0897
9.789001,1251.8137
74.07142,2649.7722
27.774763,1898.5286
42.3605,1509.5111
88.60585,2406.6404
95.070404,3548.775
83.85376,2741.7588
15.695274,1665.028
21.294758,876.64874
14.802545,1596.541
22.632383,1540.5463
18.01585,2017.3063
91.90559,2689.3652
99.57381,3335.0618
23.027292,2355.9294
92.28713,3597.7239
29.394766,1097.3678
83.61124,3718.234
24.894386,1902.8835
100.50992,2930.3535
76.840576,2454.831
45.062527,1396.1932
87.12397,3977.3252
17.369717,1941.7406
121.55585,2667.7349
64.726906,4246.1025
66.3203,3139.6042
28.223454,1565.2036
54.474674,2395.045
73.84855,2354.1604
47.690296,2047.5874
77.16251,2946.8525
38.098488,2199.3296
45.387463,3036.346
111.664925,4554.7144
42.57498,2735.4868
11.395404,1614.6202
74.40868,2789.041
48.305923,3155.3647
18.61235,1445.7574
14.604415,1363.8579
34.563995,1385.1222
39.41632,1829.0973
7.1945977,1042.2811
6.900127,1357.8663
27.8389,1889.228
43.256905,2283.8242
75.36002,1548.6371
12.625311,1372.014
89.17171,3392.8657
58.45391,3085.5464
99.5027,3136.638
14.882006,1339.7905
40.13417,2468.2622
90.334015,3414.1687
82.88386,1974.49
58.959858,4001.6404
72.25173,3202.145
28.09695,1852.1216
28.168638,1345.7351
86.76515,3923.8115
25.12002,1751.9875
32.100487,2121.273
64.2821,1729.7925
77.67481,2351.38
84.042404,2752.6086
118.734436,2534.3274
34.75575,2338.0298
30.702242,1727.2206
72.30639,3102.718
102.653275,3256.0466
38.23202,2569.189
34.824,2022.8785
95.77418,3092.2012
112.40463,3721.1782
79.43918,4243.551
66.583305,3175.9373
103.87745,3958.6365
92.84096,2867.9385
7.080591,999.883
97.362816,2581.0454
6.7564697,992.02313
83.26539,3738.8735
43.3138,2336.642
113.79173,2759.3694
50.455715,2244.5784
85.62858,3679.856
55.789375,2207.486
21.898806,1521.3896
72.81196,3234.1294
88.004456,3247.635
16.845757,2054.7566
28.425709,1620.0952
7.749589,814.752
53.90791,3272.6094
18.273012,1262.0533
35.242416,2563.697
31.261683,1805.401
36.999157,1770.2776
44.93675,2083.4268
81.34203,2398.242
20.063606,1444.2192
2.270361,496.07846
80.31406,2471.3296
10.080897,1604.8542
104.78147,2419.9739
67.62421,3952.61
115.048065,2501.0645
3.6287854,704.8142
17.577461,1584.1079
127.09021,3223.2834
53.4197,1826.9786
76.99587,2533.6174
25.976377,1657.8346
91.098564,3145.0361
15.6475525,1344.2109
9.266395,882.4807
33.071064,2341.9402
15.529241,1511.6385
8.32205,882.9228
75.42613,3064.2983
45.93685,2546.7585
48.572754,2259.3484
68.698265,3588.0237
3.5458686,847.9316
15.225036,450.24823
80.82831,3080.2668
50.73041,3624.759
57.174397,2631.3088
53.794346,2409.0146
33.893097,1774.2366
112.26995,3572.593
58.50577,4015.772
28.384424,937.342
46.78693,2135.7278
34.186188,3021.6614
16.305851,1902.7797
8.069041,1188.1752
34.68309,2514.5938
72.615814,2808.5513
98.45663,4266.1934
38.017727,1351.5715
104.25482,2726.2246
5.8712683,997.3313
22.220028,1644.6139
24.484978,2096.2031
65.33175,2353.9143
90.23011,2039.7827
11.493779,1400.097
93.48473,2819.5923
40.731365,2219.3562
19.16358,1819.2147
28.575085,1931.4734
58.006783,2863.0278
60.960564,3507.4802
35.79882,1977.8542
95.42989,3031.0083
15.839741,1450.5953
60.322952,2184.1697
30.07068,2093.2656
97.77012,4598.704
43.138092,2284.8523
57.295647,2224.9814
13.459492,1251.4651
28.653994,3200.2656
23.00406,2055.18
14.60725,1617.6886
103.18598,2178.3887
98.39115,4042.594
27.582615,1949.3484
46.27069,3123.5576
50.887142,2429.1526
65.288284,3123.6277
23.239511,1504.6979
114.2292,2396.3193
79.78458,2888.4834
61.250076,3148.3572
83.631615,4212.4336
3.6614926,768.4127
98.71654,3130.806
21.433329,2361.7986
82.93091,4387.2637
19.65033,2285.3828
79.60206,3247.087
85.908615,2120.812
27.183746,1680.987
85.937935,3037.763
80.17733,2527.1519
51.957024,2505.0364
31.697683,2145.3525
1.550407,817.9725
49.244877,2307.3657
77.39046,2749.4045
119.50611,3928.5122
90.2805,2754.2524
24.417294,1438.5288
42.597706,2558.4795
93.904564,2810.0435
51.17107,2128.236
94.05967,2343.4397
67.96003,2010.9294
2.0087366,1241.1694
67.76302,2666.0283
24.993109,2086.0999
62.992268,3435.5925
119.288605,3088.9114
10.322167,1305.2947
29.321413,1786.5446
7.985613,1362.7588
100.36464,3190.2656
100.63961,2772.3887
33.308506,1560.5854
87.37463,2568.135
86.68142,2821.9521
13.3616,1275.225
23.623732,1711.6997
70.708206,2825.4705
49.202915,2934.4592
95.22873,3860.1855
31.080694,2320.3936
65.02059,2853.539
120.30685,2948.6204
3.1971867,745.96094
67.49484,3112.2825
83.199,2067.1538
9.825721,959.61725
110.48817,4452.411
33.005676,2040.535
81.316666,2157.77
18.25581,1085.5627
5.54236,1392.0516
31.36359,2339.1284
65.832886,2660.3003
15.642209,1592.7081
63.52643,2518.7065
62.611557,2784.9517
61.49646,3040.4739
25.722189,2051.8489
32.506283,1652.671
30.553604,1811.4755
63.59648,3792.6804
60.902954,2538.0134
67.194664,3473.971
76.409355,2938.1445
75.44575,4359.6973
87.765045,2268.0183
119.08,2683.8586
54.454353,2514.3474
14.548206,1336.7844
15.686558,1685.2727
87.539925,3858.9966
50.747692,2054.4814
74.295876,2697.5637
32.635452,1647.8519
96.20628,3319.9966
20.804235,979.4859
15.300788,1848.9576
5.833491,730.1744
113.1187,2823.809
82.616325,2324.6028
77.390205,2913.706
64.30116,3098.9385
18.314617,1923.1028
25.816387,1693.9347
33.437927,2502.1714
117.314926,3171.0178
38.786594,2305.169
27.226444,1650.1793
33.14587,1706.3582
59.873783,2969.852
76.876785,3749.383
94.16491,4211.025
89.806595,3364.61
82.128876,2434.6812
70.65446,3011.0215
109.17545,3331.5425
24.194744,2678.2275
32.06992,2506.2542
27.748528,2797.5852
66.4317,2832.1677
61.89124,2491.9275
32.356403,1904.9731
8.086752,1034.5894
20.266958,1060.3439
80.535164,2491.81
22.26066,1570.3007
47.85691,3049.8542
71.20927,2727.6196
23.653591,1752.2512
23.448605,1851.164
94.22762,4015.4329
41.008404,3112.602
37.600586,1809.8505
15.620963,1262.9526
15.5803585,1377.8014
22.063908,1957.8347
50.057316,3281.5403
18.405964,1337.9082
5.091652,1428.8403
5.9833107,1160.1337
38.195408,2312.2524
99.00351,2866.522
69.04143,2534.2148
24.858828,1134.8575
52.596638,3218.114
39.808792,2767.0583
70.90116,2757.4548
65.11716,3282.4797
61.728817,2615.4094
117.03433,4194.6567
35.356823,1873.2515
23.11081,2048.793
93.59994,2320.1746
60.3901,2240.4592
79.62781,3079.5288
32.25095,2396.7725
54.61795,1823.833
31.743912,2359.698
41.79414,2702.144
74.2199,2505.4236
58.669308,3739.3076
109.66914,2187.7441
39.823498,3324.7944
57.145374,2194.8284
36.90521,2082.3906
44.575382,2731.623
61.07717,2715.5073
60.349266,2506.257
86.93909,3071.691
29.44128,2179.85
25.10071,1916.4506
66.24724,3538.6707
70.22059,2640.48
14.193215,1121.7194
105.69964,3131.712
36.026363,1416.235
88.20449,3517.0608
16.7368,1285.4977
103.03864,2997.7195
26.738504,2604.558
22.695223,2280.88
77.880356,2910.4087
51.021355,3141.1147
44.359768,1433.002
46.165554,2655.4705
18.36141,1252.8738
17.996824,1511.644
57.617878,2877.6245
3.5382974,821.9279
62.204674,2086.0364
77.17907,2626.1877
28.37951,1649.7789
3.5964825,861.97003
52.529217,2489.424
54.863304,2363.871
90.57626,3687.7356
48.29626,2495.1428
30.740055,1270.1423
61.27137,3096.951
72.361786,3161.3064
84.79313,1760.0774
48.616894,2045.0741
36.92367,1729.4467
42.697903,2434.4734
63.70484,2545.6365
89.53016,3221.9155
44.129814,2670.695
49.69663,3126.9868
63.360645,2867.4275
88.78352,3014.2578
29.050362,2342.62
90.340485,1999.2366
101.397125,3164.0403
31.694727,2438.0842
33.679955,2830.7373
3.134254,683.7151
84.723175,2749.5024
120.526855,2728.992
24.549667,2587.4675
56.200195,2872.3848
15.822332,1568.5012
35.14198,1890.7491
4.6083975,1073.897
46.086792,2858.0889
99.241684,4003.5984
15.190211,1462.1884
26.925053,1454.6907
42.807625,1294.3318
27.709421,1788.0708
33.726234,1734.4152
75.37795,3368.04
50.17058,1951.3175
101.869576,2503.2314
28.09526,2119.6558
29.159504,1517.8118
21.661884,1427.7384
52.438187,2216.4277
14.067381,1742.7789
34.712704,2110.4268
13.158343,1104.6272
73.52214,2821.1404
90.81581,2066.914
61.490776,2483.5469
19.86254,1466.483
55.700325,2531.1047
90.6489,3095.3013
55.349827,1688.7172
24.370186,2669.5178
24.54647,2127.2239
72.07488,2414.5818
11.034229,1905.3433
49.731472,3033.5317
108.98187,3082.5442
28.104475,1742.6458
67.11597,2246.5354
31.481493,1713.4501
132.90738,3358.2314
30.768997,2159.3203
84.99233,3824.943
69.981995,4262.8125
72.5025,4350.894
26.35799,1764.5952
92.45699,3082.071
41.350887,1767.1171
40.59428,2506.9944
119.978455,3593.7812
51.99257,3135.8167
63.603333,1907.9545
91.65621,3507.7422
66.47869,3650.4023
8.602926,1129.7296
82.785614,2615.0337
12.63178,1179.4714
100.4748,3224.9456
43.042706,3059.6082
49.286957,1480.67
78.08273,2722.678
52.10624,1950.5549
70.12457,3719.2173
70.10635,2804.7603
108.23847,2795.9612
36.203766,2496.41
2.7709386,957.05383
8.452862,1096.9545
108.92559,3188.7542
46.157486,3034.8962
65.51464,3208.503
65.11857,2084.7869
72.356186,3643.0173
34.750607,2409.8486
66.12457,3236.642
58.703243,2401.2144
62.484707,3106.7073
12.326456,1580.4574
12.083723,1552.143
8.621245,929.4902
23.4541,1378.1378
47.002598,2691.979
73.314186,3885.1343
86.83463,1991.1987
25.914923,1491.9503
20.133245,1209.1215
53.970665,2704.4229
39.234978,2915.3103
86.34391,2832.5981
59.32035,2137.971
16.969164,2131.2095
92.18258,2497.7166
48.639748,2402.4963
71.06127,2813.3142
3.426778,1022.1347
56.758648,1849.3983
60.85285,2203.4924
74.73671,3532.768
116.57531,2276.7559
37.12722,2257.3538
26.08424,2145.735
44.796562,1417.0256
62.49985,3146.6077
42.59167,1766.6685
43.158573,2295.627
34.892536,1962.3181
21.14658,1898.0962
107.22697,1857.0577
60.01169,2425.2805
82.42717,2932.2483
90.145256,2001.0598
69.39375,2031.8302
69.07097,1470.2235
100.43165,3267.7424
57.274563,2011.6106
93.04924,3177.3755
90.655846,2339.5828
76.110756,2977.9622
24.75366,2360.8604
29.706148,1292.849
19.530388,1490.8131
19.624725,1587.5371
114.40553,4264.949
23.943455,2217.719
98.43834,3603.4172
110.24095,2746.5474
55.789562,2515.4324
51.957764,2460.318
27.006361,1518.7852
42.359196,1473.7256
81.743454,4004.9119
51.05577,2772.494
19.677938,2121.835
107.95934,2710.7324
77.424644,4044.2485
66.55171,2219.6956
95.29029,2476.2932
26.00058,2316.9055
68.70284,3065.5388
89.79523,3741.8962
43.218143,2274.3943
42.961956,2356.6807
3.4591267,954.8327
18.265963,1155.0895
75.833694,3180.667
9.987771,1309.701
37.82374,2337.3096
37.52717,2577.4385
65.936554,3503.8752
30.96036,2297.834
9.953917,901.9248
6.285289,1166.9227
29.229136,1823.3124
102.48333,2752.9
25.909908,1473.5524
21.51357,1482.5931
24.521627,1524.3494
42.623074,2278.7139
59.49934,1956.7179
83.65856,3582.0466
37.707584,2227.0605
4.961143,498.10367
99.127945,163.836
67.23718,3846.1318
75.32276,3105.3223
28.600658,2418.081
117.82975,3721.2266
58.342213,2787.968
21.004007,1897.3251
83.4566,2729.9902
40.98007,2213.7246
31.363209,1840.6151
23.662426,1857.306
23.133425,2169.8918
11.169812,1578.1295
74.56776,3155.5696
112.20945,3054.6465
96.27022,3115.0676
97.11699,4813.9326
76.369125,2149.7773
32.25518,2165.2424
62.867508,2819.1545
70.66007,3812.8608
39.418137,1673.998
53.676434,1969.4548
93.6462,2717.7488
92.34461,2442.5464
44.314426,2298.0469
14.772727,1055.4869
44.073395,1675.8425
55.53759,2564.1448
27.408825,2374.6025
34.622158,2266.1855
13.595512,1323.5322
88.747,3562.0078
39.509434,1948.1735
79.00544,3147.772
50.35965,2663.7498
4.845962,824.1998
61.034363,2136.9214
99.12713,3112.9219
13.553663,369.0407
86.96852,2595.0269
71.01128,3107.169
75.77283,3252.2903
25.087278,1445.3118
26.578745,1835.7751
92.19825,2877.9832
87.42061,2910.964
122.68187,4006.3413
78.79051,2877.1814
41.526752,2732.0627
64.76521,3894.457
15.92175,1717.537
98.83498,3553.7654
84.15487,2579.1384
59.301037,2126.6958
63.465076,3173.1035
25.572613,1083.6635
65.437675,2540.4832
99.57356,2841.3174
63.16803,2343.2163
86.451645,2447.6
44.921642,2948.9744
124.159035,3031.5227
7.113722,1109.4858
46.73201,3177.6812
49.215492,1738.1603
7.80651,1074.7756
82.34549,3136.248
10.023417,1402.0815
31.492834,2496.9521
7.450347,1370.825
70.149445,2689.779
61.27715,2449.0437
98.66107,3055.9421
